DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
0,0,2,125.046,byplayer,0,8,50,0,0,0.0,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,1,3176.9143,0,0.0,0,1176,0,1030.0425,8,12,YAHO,2
0,0,3,131.28827,byplayer,0,3,52,0,0,0.0,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,4362.6255,0,0.0,0,1167,0,980.9803,8,12,YAHO,2
0,0,4,58.005688,byplayer,0,0,55,0,0,0.0,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,5401.1294,0,0.0,0,1066,0,1117.715,4,13,TE,2
1,0,2,162.50438,byplayer,0,1,54,0,0,0.0,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,0,5085.6304,0,0.0,0,1074,0,974.05786,9,13,TE,2
0,0,7,24.628008,byplayer,0,1,53,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,3801.015,0,0.0,0,1156,0,1172.2654,4,13,TE,2
1,0,1,100.0,byplayer,0,0,56,0,0,0.0,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,3856.8127,0,0.0,0,693,0,463.90985,3,13,TE,2
0,0,4,0.0,byplayer,0,1,60,0,0,0.0,OP_vard,account.7dc38fb4885b4dcdaf6ae9ab773949b5,0,5191.7847,0,0.0,0,1131,0,1048.6124,3,14,OP,2
0,0,3,62.039997,byplayer,0,1,58,0,0,0.0,OP_jeemzz,account.79106b57d5884c91a2f6f9e5d0c5e9d4,0,4255.5776,0,0.0,0,1135,0,1480.73,6,14,OP,2
0,0,2,34.803543,byplayer,0,2,59,0,0,0.0,OP_mxey,account.b5205dc056b8454d912beef9dc797bf9,0,4653.243,0,0.0,0,1135,0,868.478,5,14,OP,2
0,0,3,52.957695,byplayer,0,0,57,0,0,0.0,OP_clib,account.81f01a8db8bb4e6ebe1c7e3952dc5871,0,5642.181,0,0.0,0,1135,0,1124.824,6,14,OP,2
0,0,0,144.17963,byplayer,0,0,62,0,0,0.0,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,0,1569.5001,0,0.0,0,916,0,747.6693,8,15,FaZe,2
1,1,3,206.62372,byplayer,1,3,33,1,1,15.069625,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,1699.756,0,0.0,0,889,0,511.0635,5,15,FaZe,2
1,0,0,50.800007,byplayer,0,0,32,1,1,15.215377,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,0,1516.1313,0,0.0,0,916,0,624.82837,4,15,FaZe,2
1,0,2,171.08,byplayer,0,1,61,0,0,0.0,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,885.0608,0,0.0,0,916,0,733.7661,3,15,FaZe,2
0,0,2,53.467197,byplayer,0,2,64,0,0,0.0,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,3375.4595,0,0.0,0,872,0,740.0394,3,16,KDF,2
0,0,0,0.0,byplayer,0,0,65,0,0,0.0,KDF_EEND,account.296ae73a09144f949505b831843253ca,1,2297.0193,0,0.0,0,872,0,1028.8165,4,16,KDF,2
0,0,2,73.63113,byplayer,0,3,66,0,0,0.0,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,0,1804.7336,0,0.0,0,869,0,649.83295,5,16,KDF,2
0,0,2,100.99448,byplayer,0,4,63,0,0,0.0,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,0,2352.9465,0,0.0,0,872,0,460.28665,3,16,KDF,2
0,0,3,119.9876,alive,0,4,35,0,0,0.0,TWIS_Perfect1ks,account.806c51ce23634e02ace2089773349500,0,4265.7026,0,0.0,0,1673,0,1643.1188,8,1,TWIS,3
1,2,4,267.28506,alive,0,2,6,2,2,69.99179,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,4662.274,0,0.0,0,1673,0,1365.4655,4,1,TWIS,3
1,1,6,151.99489,alive,0,1,2,1,3,125.8637,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,4144.021,0,0.0,0,1673,0,1662.7189,7,1,TWIS,3
0,0,4,241.77542,alive,0,4,7,2,2,52.4116,TWIS_spyrro,account.caf93e0eb8804b478a6a4b2d4d69f54f,1,4108.2944,0,0.0,0,1673,0,1987.2507,3,1,TWIS,3
0,1,5,368.20023,byzone,0,5,36,0,0,0.0,eU_Kickstart,account.6a886e58e2ea4c6e9f0092fbc3a4de9b,0,8877.757,0,0.0,0,1673,0,1395.87,3,2,eU,3
2,1,3,168.0858,byplayer,1,1,8,1,2,37.08299,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,0,8433.794,0,0.0,0,1643,0,1372.4072,2,2,eU,3
0,1,1,82.409996,byplayer,0,1,37,0,0,0.0,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,0,8224.046,0,0.0,0,1544,0,1601.9645,4,2,eU,3
2,1,4,101.302864,byplayer,1,0,9,2,2,24.868519,eU_Fludd,account.ce4a08811bee48a2a75851fe6545df8c,0,8440.514,0,0.0,0,1546,0,1352.5598,4,2,eU,3
