character_name,Item_Heal_MedKit,match_id,Item_Heal_FirstAid_C,Item_Heal_Bandage_C,Item_Boost_AdrenalineSyringe_C,Item_Boost_PainKiller_C,Item_Boost_EnergyDrink_C,Item_Weapon_Molotov_C,Item_Weapon_SmokeBomb_C,Item_Weapon_FlashBang_C,Item_Weapon_Grenade_C
LG_Kickstart,,4,4.0,4.0,,2.0,3.0,,8.0,3.0,2.0
LG_Relo,,4,4.0,2.0,,1.0,,1.0,2.0,,3.0
LG_Snakers,,4,4.0,4.0,,1.0,6.0,,2.0,2.0,
NAVI_Mell,,4,,,,,,,,,
NAVI_alya,,4,1.0,,,,,1.0,,,
NAVI_ubah,,4,5.0,,,,1.0,,1.0,,
NAVI_xmpl,,4,,,,,1.0,,2.0,,1.0
NH_HSmm,,4,5.0,1.0,1.0,4.0,2.0,,8.0,2.0,6.0
NH_MMing,,4,6.0,1.0,,1.0,6.0,,3.0,1.0,6.0
NH_Nannnnn,,4,3.0,2.0,,1.0,3.0,,2.0,1.0,3.0
NH_ZpYan1,,4,4.0,1.0,,2.0,6.0,1.0,3.0,1.0,4.0
PLM_BORBO4Tz,1.0,4,4.0,1.0,,2.0,2.0,1.0,8.0,2.0,2.0
PLM_Flukky,,4,4.0,2.0,,1.0,8.0,1.0,6.0,,2.0
PLM_ThanawatTH,,4,4.0,2.0,,,6.0,,8.0,3.0,2.0
PLM_Thunderz,,4,4.0,1.0,,3.0,5.0,5.0,6.0,4.0,4.0
PTG_Adder,,4,,,,,,,1.0,,
PTG_Akad,,4,4.0,,1.0,,2.0,2.0,10.0,1.0,1.0
PTG_Hikari,,4,1.0,1.0,,1.0,3.0,1.0,6.0,1.0,5.0
PTG_WICKED,,4,8.0,,,1.0,2.0,,2.0,1.0,2.0
PeRo_AZ,,4,8.0,1.0,,1.0,9.0,3.0,11.0,6.0,7.0
PeRo_Aixleft,,4,6.0,2.0,,2.0,3.0,1.0,3.0,2.0,3.0
PeRo_Cui71,1.0,4,6.0,2.0,1.0,1.0,8.0,,13.0,3.0,10.0
PeRo_Myl,,4,4.0,2.0,1.0,2.0,9.0,1.0,4.0,1.0,5.0
SQ_M1ME,,4,9.0,2.0,,1.0,3.0,4.0,10.0,7.0,5.0
