attacker_name,Item_Weapon_Molotov_C,match_id,Item_Weapon_SmokeBomb_C,Item_Weapon_Grenade_C,Item_Weapon_FlashBang_C
Tian_LinShu,1.0,7,,1.0,2.0
Tian_LongSkr,,7,1.0,1.0,
Tian_PaoPao,,7,,1.0,3.0
17_Lilghost,,8,,,
17_SuJiu,,8,2.0,,
17_Xbei,,8,4.0,,
17_xwudd,,8,,1.0,
4AM_CRAZY112,,8,,,
4AM_Summer,,8,,,
4AM_WangZai,,8,5.0,3.0,
4AM_Xiaohaixxxx,,8,3.0,,
4AM_xxxLu,,8,,,
ACE_ItzzChrizZ,,8,,,
ACE_KILYAKAi,,8,,,
ACE_Myca,,8,,,
ACE_braex,,8,,,
CES_HaiSaki,,8,,,
CES_Himass,,8,,,
CES_Taikonn,,8,,,
CES_YmCud,,8,,,
DAY_Belmoth,,8,1.0,2.0,
DAY_Flash,,8,5.0,1.0,
DAY_Nourinz,,8,,,
DAY_PuuChiwz,,8,,,
DNW_Inonix,,8,4.0,4.0,1.0
DNW_Loki,2.0,8,,1.0,2.0
DNW_Salute,1.0,8,,4.0,
DNW_seoul,1.0,8,,2.0,1.0
EXO_Akita,,8,,,
EXO_Hikerman,,8,,,
EXO_Rain,,8,,,
EXO_empt,,8,,,
EXO_kang,,8,,,
FaZe_Fexx,,8,,,
FaZe_Gustav,,8,11.0,1.0,
FaZe_curexi,,8,3.0,2.0,
FaZe_jeemzz,,8,4.0,1.0,
GBL_Glaz,,8,,,
GBL_Gyumin,,8,,,
GBL_Heaven,,8,,,
GBL_Tosi,,8,,,
GEN_DG98,,8,,,
GEN_Foxy,,8,,,
GEN_Pio,,8,,,
GEN_taemin,,8,,,
GEX_Leo,,8,3.0,,
GEX_Savior,,8,3.0,,
GEX_Yuri,,8,4.0,,
GEX_ZhenNan,,8,5.0,2.0,
HOWL_Apocalyp,,8,,,
HOWL_RuerN,,8,1.0,,
HOWL_TheMad,,8,,,
HOWL_scof1eld,,8,1.0,,
III_Adam,2.0,8,4.0,1.0,
III_RichyB,,8,1.0,,1.0
III_Vox,,8,,2.0,
III_oldless,,8,,,
LG_Fludd,,8,,,
LG_Kickstart,,8,,,
